Date,GW
03/06/2018,85.4443
03/07/2018,85.2368
03/08/2018,82.8994
03/09/2018,78.773
03/10/2018,70.3309
03/11/2018,61.0756
03/12/2018,73.2931
03/13/2018,77.5494
03/14/2018,76.8732
03/15/2018,79.0418
03/16/2018,82.305
03/17/2018,75.1785
03/18/2018,68.7395
03/19/2018,80.0473
03/20/2018,83.2528
03/21/2018,82.7365
03/22/2018,78.6776
03/23/2018,76.0553
03/24/2018,68.0832
03/25/2018,60.858
03/26/2018,71.6207
03/27/2018,73.7262
03/28/2018,70.8205
03/29/2018,53.7154
03/30/2018,49.1791
03/31/2018,54.1598
04/01/2018,56.8905
04/02/2018,74.1839
04/03/2018,78.0944
04/04/2018,78.2216
04/05/2018,77.359
04/06/2018,79.03445
04/07/2018,72.9163
04/08/2018,64.608
04/09/2018,67.5803
04/10/2018,81.5634
04/11/2018,84.0971
04/12/2018,85.7578
04/13/2018,86.2036
04/14/2018,79.3493
04/15/2018,72.865
04/16/2018,85.8567
04/17/2018,86.7185
04/18/2018,85.1487
04/19/2018,85.0376
04/20/2018,86.3174
04/21/2018,80.444
04/22/2018,74.0404
04/23/2018,86.1346
04/24/2018,88.9991
04/25/2018,88.5037
04/26/2018,88.9889
04/27/2018,88.4111
04/28/2018,80.6306
04/29/2018,73.4075
04/30/2018,84.9791
05/01/2018,76.3066
05/02/2018,88.7831
05/03/2018,90.1819
05/04/2018,89.0906
05/05/2018,78.6567
05/06/2018,72.0821
05/07/2018,88.3707
05/08/2018,91.0916
05/09/2018,91.487
05/10/2018,89.2608
05/11/2018,87.7062
05/12/2018,81.4107
05/13/2018,74.6667
05/14/2018,74.867
05/15/2018,88.7153
05/16/2018,90.7351
05/17/2018,92.8842
05/18/2018,93.04
05/19/2018,84.7535
05/20/2018,76.1388
05/21/2018,91.6355
05/22/2018,92.3948
05/23/2018,92.644
05/24/2018,91.9301
05/25/2018,88.4498
05/26/2018,83.2319
05/27/2018,77.9035
05/28/2018,92.5362
05/29/2018,94.9924
05/30/2018,93.0025
05/31/2018,92.0091
06/01/2018,92.7685
06/02/2018,83.7934
06/03/2018,72.88
06/04/2018,90.2558
06/05/2018,92.2349
06/06/2018,86.6522
06/07/2018,83.8196
06/08/2018,81.8765
06/09/2018,70.6947
06/10/2018,61.3011
06/11/2018,68.6871
06/12/2018,62.9532
06/13/2018,71.6937
06/14/2018,74.2763
06/15/2018,69.8759
06/16/2018,69.1455
06/17/2018,65.3961
06/18/2018,82.9672
06/19/2018,88.0515
06/20/2018,87.222
06/21/2018,84.2574
06/22/2018,82.6427
06/23/2018,77.3269
06/24/2018,71.4439
06/25/2018,82.5398
06/26/2018,80.2133
06/27/2018,81.8632
06/28/2018,85.3899
06/29/2018,85.8012
06/30/2018,78.5591
07/01/2018,69.6455
07/02/2018,82.0929
07/03/2018,85.5001
07/04/2018,85.9555
07/05/2018,85.8578
07/06/2018,85.1613
07/07/2018,77.67
07/08/2018,67.7958
07/09/2018,79.5248
07/10/2018,81.5097
07/11/2018,82.0243
07/12/2018,81.1001
07/13/2018,80.7157
07/14/2018,74.1707
07/15/2018,66.8268
07/16/2018,77.5764
07/17/2018,74.0173
07/18/2018,75.8872
07/19/2018,78.056
07/20/2018,75.7966
07/21/2018,70.2985
07/22/2018,61.30505
07/23/2018,73.1768
07/24/2018,77.0157
07/25/2018,80.119
07/26/2018,78.7829
07/27/2018,76.6162
07/28/2018,72.7602
07/29/2018,67.2347
07/30/2018,81.9695
07/31/2018,85.8669
08/01/2018,89.4864
08/02/2018,87.8082
08/03/2018,87.3911
08/04/2018,81.5557
08/05/2018,72.1619
08/06/2018,84.9884
08/07/2018,83.3111
08/08/2018,82.9374
08/09/2018,82.529
08/10/2018,80.4166
08/11/2018,71.2336
08/12/2018,62.3725
08/13/2018,73.8654
08/14/2018,77.7596
08/15/2018,82.552
08/16/2018,85.7855
08/17/2018,83.8826
08/18/2018,74.8705
08/19/2018,68.4609
08/20/2018,77.6456
08/21/2018,72.435
08/22/2018,83.1467
08/23/2018,84.4539
08/24/2018,84.6819
08/25/2018,77.5697
08/26/2018,68.6325
08/27/2018,70.2723
08/28/2018,85.4008
08/29/2018,87.1825
08/30/2018,87.1363
08/31/2018,84.814
09/01/2018,76.3862
09/02/2018,69.9876
09/03/2018,80.8596
09/04/2018,83.2683
09/05/2018,84.2288
09/06/2018,81.2069
09/07/2018,79.4109
09/08/2018,76.5554
09/09/2018,72.0484
09/10/2018,85.4356
09/11/2018,85.4177
09/12/2018,85.1954
09/13/2018,85.9119
09/14/2018,81.6254
09/15/2018,63.2445
09/16/2018,64.9425
09/17/2018,78.9096
09/18/2018,82.07
09/19/2018,84.4957
09/20/2018,86.011
09/21/2018,83.873
09/22/2018,80.6684
09/23/2018,75.3915
09/24/2018,87.8899
09/25/2018,90.1773
09/26/2018,89.957
09/27/2018,88.3941
09/28/2018,88.7643
09/29/2018,82.6201
09/30/2018,74.6662
10/01/2018,88.7776
10/02/2018,87.0702
10/03/2018,86.4551
10/04/2018,86.7775
10/05/2018,86.7592
10/06/2018,81.1619
10/07/2018,73.3255
10/08/2018,86.8172
10/09/2018,88.6879
10/10/2018,90.308
10/11/2018,90.9368
10/12/2018,90.9638
10/13/2018,84.3674
10/14/2018,75.0377
10/15/2018,85.5448
10/16/2018,86.8167
10/17/2018,87.9834
10/18/2018,88.6743
10/19/2018,88.3297
10/20/2018,83.7477
10/21/2018,72.629
10/22/2018,85.8795
10/23/2018,87.9058
10/24/2018,87.3339
10/25/2018,87.963
10/26/2018,88.5386
10/27/2018,81.3807
10/28/2018,74.5813
10/29/2018,81.5412
10/30/2018,80.2129
10/31/2018,80.8356
11/01/2018,66.2448
11/02/2018,70.6077
11/03/2018,75.7458
11/04/2018,72.4601
11/05/2018,87.7225
11/06/2018,89.6281
11/07/2018,88.8015
11/08/2018,86.8709
11/09/2018,84.946
11/10/2018,78.9351
11/11/2018,73.3477
11/12/2018,86.2539
11/13/2018,88.1072
11/14/2018,88.5519
11/15/2018,88.241
11/16/2018,87.3292
11/17/2018,79.681
11/18/2018,72.5237
11/19/2018,84.4761
11/20/2018,83.7688
11/21/2018,80.9814
11/22/2018,83.0024
11/23/2018,84.1619
11/24/2018,77.5378
11/25/2018,69.7034
11/26/2018,83.0698
11/27/2018,85.0349
11/28/2018,85.2582
11/29/2018,84.5097
11/30/2018,73.2221
12/01/2018,74.1254
12/02/2018,69.8115
12/03/2018,84.0465
12/04/2018,87.578
12/05/2018,89.3734
12/06/2018,89.5706
12/07/2018,87.9101
12/08/2018,77.8992
12/09/2018,72.4622
12/10/2018,86.7297
12/11/2018,90.1898
12/12/2018,89.9467
12/13/2018,87.1138
12/14/2018,83.4414
12/15/2018,75.5966
12/16/2018,69.2408
12/17/2018,81.7476
12/18/2018,83.0685
12/19/2018,82.9422
12/20/2018,81.1951
12/21/2018,80.0361
12/22/2018,71.1288
12/23/2018,60.5706
12/24/2018,56.3372
12/25/2018,55.2525
12/26/2018,68.7584
12/27/2018,73.697
12/28/2018,71.4235
12/29/2018,58.9581
12/30/2018,53.3127
12/31/2018,51.6605
